Title,Tele,Email,Web,Addy,Poblacion,Type
francisco mangado,fax: (+34) 948 17 65 05 / work: (+34) 948 27 62 02,mangado@fmangado.com,http://www.fmangado.com/,x,Archinect,Architecture / Design Firm,
destilat Design Studio GmbH,work: +43 1 97 444 20,office@destilat.at,http://www.destilat.at/,"Linz, Austria",Archinect,Architecture / Design Firm,
SV60 Cordón & Liñán Arquitectos,work: +34 954382002,sv60@agcordon.com,http://www.sv60.es/,"Seville, Spain",Archinect,Architecture / Design Firm,
ÃBATON,x,info@abaton.es,http://www.abaton.es/en,x,Archinect,Architecture / Design Firm,
Signature Group,x,x,https://architizer.com/firms/signature-group/,x,Archinect,Architecture / Design Firm,
Caballero+Colon,x,x,https://www.caballerocolon.com/,x,Archinect,Architecture / Design Firm,
Estudio Jesus Donaire,x,x,https://architizer.com/firms/estudio-jesus-donaire/,x,Archinect,Architecture / Design Firm,
grupo aranea,work: 0034 965 92 16 95,info@grupoaranea.net,http://www.grupoaranea.net/,x,Archinect,Architecture / Design Firm,
Fran Silvestre Arquitectos,work: 0034 963816561,info@fransilvestrearquitectos.com,http://www.fransilvestrearquitectos.com/,x,Archinect,Architecture / Design Firm,
DAVID FRUTOS,x,x,https://architizer.com/firms/david-frutos/,x,Archinect,Architecture / Design Firm,
PichArchitects,work: 0034 933 016 457,pr@picharchitects.com,http://www.picharchitects.com/,"Barcelona, Spain",Archinect,Architecture / Design Firm,
Ramon Esteve Estudio,fax: +34 96 315 55 34 / work: +34 96 351 04 34,info@ramonesteve.com,http://www.ramonesteve.com/,x,Archinect,Architecture / Design Firm,
Andrés Jaque Architects,x,oficina@andresjaque.net,http://andresjaque.net/wordpress/curriculo-y-contacto/,x,Archinect,Architecture / Design Firm,
Cadaval & Solà-Morales,x,x,http://www.ca-so.com/index.htm,x,Archinect,Architecture / Design Firm,
Pepe Gascón Arquitectura,work: 0034 937850623,info@pepegascon.com,http://www.pgarquitectura.es,"Barcelona, Spain",Archinect,Architecture / Design Firm,
Rubén Muedra Estudio de Arquitectura,work: +34 960 716 507,info@rubenmuedra.com,http://www.rubenmuedra.com,"Carrer de Sorní, València, Spain",Archinect,Architecture / Design Firm,
langarita-navarro,work: 34 91 564 59 84 / http://www.langarita-navarro.com/,estudio@langarita-navarro.com,http://www.langarita-navarro.com/,"8, Calle Grijalba, Madrid, Spain",Archinect,Architecture / Design Firm,
"marià castelló, architecture",work: 0034971328046,mcastello@m-ar.net,https://www.instagram.com/mcastello_arch,"Balearic Islands, PM, Spain",Archinect,Architecture / Design Firm,
NOMO STUDIO,work: +34 935 340 790,hello@nomostudio.eu,http://www.nomostudio.eu/,"80, Carrer de Marià Cubí, Barcelona, Spain",Archinect,Architecture / Design Firm,
Office of Architecture in Barcelona,x,info@ferrater.com,https://architizer.com/firms/office-of-architecture-in-barcelona/,"145, Carrer de Balmes, Barcelona, Spain",Archinect,Architecture / Design Firm,
TANGRAM Arquitectura + Diseño,work: 0034 605029262 / https://www.tangramarquitectura.es/,info@tangramarquitectura.es,https://www.tangramarquitectura.es/,"Zaragoza, Spain",Archinect,Architecture / Design Firm,
MIRAG Millet Ramoneda,fax: +34 93 476 28 12 / work: +34 93 476 28 11 / http://www.mirag.net/,mirag@mirag.net,http://www.mirag.net/,"Eixample, Barcelona, Spain",Archinect,Architecture / Design Firm,
Otto Medem Arquitectura S.L.,x,estudio@ottomedem.es,https://ottomedem.es/,"Pozuelo, Spain",Archinect,Architecture / Design Firm,
"Iñaqui Carnicero, head of Iñaqui Carnicero´s Architects",work: 0016073798176,icarnicero@gmail.com,http://www.inaquicarnicero.com/,"Ithaca, NY, United States",Archinect,Architecture / Design Firm,
Nook Architects,x,nookpeople@gmail.com,http://www.nookarchitects.com/,"258, Carrer de Lepant, Barcelona, Spain",Archinect,Architecture / Design Firm,
Wiel Arets Architects,work: +31 (0)43 3512200,press@wielaretsarchitects.com,http://www.wielaretsarchitects.com,x,Archinect,Architecture / Design Firm,
arnau estudi d'arquitectura,work: 972267030,info@arnauestudi.cat,http://www.arnauestudi.cat/,"3, Plaça Clara, Olot, Spain",Archinect,Architecture / Design Firm,
Egue y Seta,work: +34 981 118 089 / work: +34 912 999 994 / work: + 34 931 791 992,coruna@egueyseta.com,http://www.egueyseta.com/,"Polígono de Pocomaco, Spain",Archinect,Architecture / Design Firm,
Mateo Arquitectura,work: +34 932 186 358,info@mateo-arquitectura.com,http://www.mateo-arquitectura.com/,"39, Carrer de Teodor Roviralta, Barcelona, Spain",Archinect,Architecture / Design Firm,
Dom Arquitectura,work: +934100814,info@dom-arquitectura.com,http://www.dom-arquitectura.com/,"22, Carrer de Bordeus, Barcelona, Spain",Archinect,Architecture / Design Firm,
05 AM Arquitectura,work: +34 972013234,arquitectura@05am.com,http://www.05am.com/‎,"Girona, Spain",Archinect,Architecture / Design Firm,
Vaillo + Irigaray Architects,http://www.vailloirigaray.com/,estudio@vailloirigaray.com,http://www.vailloirigaray.com/,x,Archinect,Architecture / Design Firm,
Ricardo Bofill Taller de Arquitectura,work: +34-93-499.99.00,tallerbcn@bofill.com,http://www.ricardobofill.com/,x,Archinect,Architecture / Design Firm,
GRAS Reynés Arquitectos,work: +34971280912,press@gras-arquitectos.com,http://www.gras-arquitectos.com/,"24, Carrer de Son Armadans, Palma, Spain",Archinect,Architecture / Design Firm,
COR & Asociados,fax: 0034 965213929 / work: 0034 965213929,cor@cor.cc,http://www.cor.cc,x,Archinect,Architecture / Design Firm,
Luis Diaz Diaz,x,x,https://architizer.com/firms/luis-diaz-diaz/,x,Archinect,Architecture / Design Firm,
Lagula Arquitectes,x,lagulaarquitectes@gmail.com,http://www.lagula.to/,x,Archinect,Architecture / Design Firm,
Alfonso Alzugaray Arquitecto,work: +34 948 22 10 29,estudio@alzugaray.com,http://www.alzugaray.com/,x,Archinect,Architecture / Design Firm,
Gallardo Llopis Arquitectos,fax: 963937133 / work: 963931732,carlos@gallardo-llopis.com,http://www.gallardo-llopis.com,x,Archinect,Architecture / Design Firm,
Alventosa Morell Arquitectes,x,arquitectes@alventosamorell.com,http://www.alventosamorell.com/,x,Archinect,Architecture / Design Firm,
Otxotorena Arquitectos,work: 0034 948 170345,otx@telefonica.net,http://www.otxotorenaarquitectos.com/,"Pamplona, Spain",Archinect,Architecture / Design Firm,
"ca+a architects | Corona, Amaral + Asociados",work: +34 922 59 80 02,estudio@corona-amaral.com,http://www.corona-amaral.com/,"María Jiménez, Spain",Archinect,Architecture / Design Firm,
Rob Dubois · arquitecte,work: +34 938 675 801,rob@rob-dubois.com,http://www.rob-dubois.com/,"9, Avinguda Verge del Puig, Sant Celoni, Spain",Archinect,Architecture / Design Firm,
Pezo von Ellrichshausen,http://pezo.cl/,x,http://pezo.cl/,x,Archinect,Architecture / Design Firm,
OFFICE Kersten Geers David Van Severen,work: +32 2 503 05 71 / http://www.officekgdvs.com/,applications@officekgdvs.com / press@officekgdvs.com,http://www.officekgdvs.com/,x,Archinect,Architecture / Design Firm,
Hidalgo Hartman,x,x,https://architizer.com/firms/hidalgo-hartman/,x,Archinect,Architecture / Design Firm,
Subarquitectura,cell: 671038868 / work: 965135914,para@subarquitectura.com,http://www.subarquitectura.com,x,Archinect,Architecture / Design Firm,
Mario Corea Arquitectura,work: 0034 93 476 07 32,info@mariocorea.com,http://www.mariocorea.com/,x,Archinect,Architecture / Design Firm,
RipollTizon: Estudio de Arquitectura,x,estudio@ripolltizon.com,http://www.ripolltizon.com/,x,Archinect,Architecture / Design Firm,
Hollegha Arquitectos,x,hollegha@coal.es,http://www.hollegha.com/,"32, Calle Islas Bikini, Madrid, Spain",Archinect,Architecture / Design Firm,
PMMT Forward Thinking Healthcare Architecture,work: (+34) 932 055 376,info@pmmtarq.com,https://www.pmmtarquitectura.es/,"Madrid, Spain",Archinect,Architecture / Design Firm,
OLAestudio,cell: 654 753 493,hola@olaestudio.com,https://architizer.com/firms/olaestudio/,"A Coruña, Spain",Archinect,Architecture / Design Firm,
Paredes Pedrosa Arquitectos,x,x,http://www.paredespedrosa.com/,x,Archinect,Architecture / Design Firm,
PADILLA NICAS ARQUITECTOS,x,x,http://www.padillanicas.net/,x,Archinect,Architecture / Design Firm,
CREUSeCARRASCO,cell: 0034 981 210 710,creusecarrasco@gmail.com,http://www.creusecarrasco.com/index.php,x,Archinect,Architecture / Design Firm,
Guallart Architects,x,x,http://www.guallart.com/,x,Archinect,Architecture / Design Firm,
Juan Marco,x,x,http://www.juanmarco.net/arquitecto/index.html,x,Archinect,Architecture / Design Firm,
JAS Arquitectura,x,x,https://architizer.com/firms/jas-arquitectura/,x,Archinect,Architecture / Design Firm,
JUMA Architects,work: ‭+32 9 279 64 29,contact@jumaarchitects.com,http://www.jumaarchitects.com,"47, Hoge Heirweg, Sint-Martens-Latem, Belgium",Archinect,Architecture / Design Firm,
P + A,x,carles@pastor-associates.com,http://www.pastor-associates.com,"Barcelona, CT, Spain",Archinect,Architecture / Design Firm,
MDBA,work: +34 936670533,info@mdbarchitects.com,http://mdbarchitects.com/,"Barcelona, Spain",Archinect,Architecture / Design Firm,
FRPO Rodriguez & Oriol Architecture Landscape,work: +34 912 838 818,frpo@frpo.es,http://www.frpo.es/,x,Archinect,Architecture / Design Firm,
MUKA ARQUITECTURA,cell: (+34)652438435 / work: (+34)915220582,administracion@mukaarquitectura.com,http://www.mukaarquitectura.com,x,Archinect,Architecture / Design Firm,
BGAA / Burgos - Garrido Associated Architects,x,x,https://architizer.com/firms/bgaa-burgos-garrido-associated-architects/,x,Archinect,Architecture / Design Firm,
Z4Z4,cell: 8067732928,rafa@rafabeneytez.com / info@z4z4.es,http://z4z4.es/,x,Archinect,Architecture / Design Firm,
DAHL + GHG Architects,work: 917811000,estudio@dahl-ghg.com,http://www.dahl-ghg.com/,"Madrid, Spain",Archinect,Architecture / Design Firm,
Rocamora Arquitectura,x,angel@rocamoraarquitectura.com,http://rocamoraarquitectura.com/wp,x,Archinect,Architecture / Design Firm,
Joan Poca Arquitecte,x,joanpoca@gmail.com,https://architizer.com/firms/joan-poca-arquitecte/,"Terrassa, Spain",Archinect,Architecture / Design Firm,
Jordi Hidalgo Tané Arquitectura,x,1@2x.png,http://www.hidalgotane.com,x,Archinect,Architecture / Design Firm,
Studio Wet,work: 0034954374503,wet@studiowet.com,http://www.studiowet.com,"Calle Goles, Sevilla, Spain",Archinect,Architecture / Design Firm,
fuertespenedo arquitectos,x,info@fuertespenedo.com,http://fuertespenedo.com/,"Vigo, Spain",Archinect,Architecture / Design Firm,
MOGAS ARQUITECTES SL,work: +34 93 724 3618 / cell: +34 616 19 96 79,info@marq.cat,http://www.marq.cat/,"Sabadell, Spain",Archinect,Architecture / Design Firm,
BmasC Arquitectos,work: 0034 - 920 250 669,estudio@bmasc.es,http://www.bmasc.es/eng/index.html,x,Archinect,Architecture / Design Firm,
Ángel Baltanás,x,x,https://architizer.com/firms/angel-baltanas/,x,Archinect,Architecture / Design Firm,
Dröm Living,cell: 659 87 35 29,hola@dromliving.com,http://www.dromliving.com/,"Barcelona, Spain",Archinect,Architecture / Design Firm,
Bojaus,work: 0034 912240201,bojausinfo@gmail.com,http://www.bojaus.com/,x,Archinect,Architecture / Design Firm,
Camacho Macia Architects,x,estudio@camacho-macia.com,http://www.camacho-macia.com/,x,Archinect,Architecture / Design Firm,
HARQUITECTES,fax: 0034 937250048 / work: 0034 937250048,harquitectes@harquitectes.com,http://www.harquitectes.com/,x,Archinect,Architecture / Design Firm,
Raúl Sánchez Architects,work: 0034661344542 / work: 0034 931 623 578,rsa@raulsanchezarchitects.com,http://raulsanchezarchitects.com/,"32, Carrer d'Àvila, Barcelona, Spain",Archinect,Architecture / Design Firm,
Fragments,work: +34699698620,info@fragments.cat,http://www.fragments.cat/,"Olot, Spain",Archinect,Architecture / Design Firm,
Zooco Estudio,work: (+34) 917355490,zooco@zooco.es,http://www.zooco.es/,"40, Calle del Sol, Santander, Spain",Archinect,Architecture / Design Firm,
Elisa Valero Arquitectura,x,info@elisavalero.com,http://www.elisavalero.com/index.php,x,Archinect,Architecture / Design Firm,
Nan Arquitectos,cell: +34 658617408,info@nanarquitectos.com,http://www.nancontract.com/,x,Archinect,Architecture / Design Firm,
AABE,work: 003226872717,aa@aabe.be,http://www.aabe.be/,x,Archinect,Architecture / Design Firm,
FLEXO Arquitectura,x,flexo@flexoarquitectura.com,http://www.flexoarquitectura.com/,x,Archinect,Architecture / Design Firm,
Herreros Arquitectos,work: +34 915227769,estudio@herrerosarquitectos.com,http://www.herrerosarquitectos.com,x,Archinect,Architecture / Design Firm,
KRESINGS,work: +49 211 497 69 59 0 / work: +49 211 497 69 59 0 / work: +49 251 987 78 0,press@kresings.com,http://www.kresings.com/,"Düsseldorf, Germany",Archinect,Architecture / Design Firm,
IND [Inter National Design],x,x,https://architizer.com/firms/ind-inter-national-design/,x,Archinect,Architecture / Design Firm,
Carlos Arroyo Architects,fax: +34 91 532 47 36 / work: +34 91 521 35 69,info@carlosarroyo.net,http://www.carlosarroyo.net,x,Archinect,Architecture / Design Firm,
La Errería * architecture office,work: +34966935300,info@erreria.com,http://www.erreria.com,"2, Calle María Auxiliadora, Novelda, Spain",Archinect,Architecture / Design Firm,
Díaz y Díaz Arquitectos,work: 0034913523109 / work: 0034981206105,estudiomadrid@diazydiazarquitectos.com,http://www.diazydiazarquitectos.com/,"16, Rúa de Tinallas, A Coruña, Spain",Archinect,Architecture / Design Firm,
Miel Arquitectos,x,info@mielarquitectos.com,http://www.barcelonarchitecturewalks.com/,x,Archinect,Architecture / Design Firm,
NOEM,work: +34 649 867 089,contact@noem.com,http://www.noem.com/,"Barcelona, Spain",Archinect,Architecture / Design Firm,
Anna & Eugeni Bach,work: +34932002911,barch@coac.net,http://www.annaeugenibach.com/,"24, Carrer d'Hercegovina, Barcelona, Spain",Archinect,Architecture / Design Firm,
Roberto Ercilla Arquitectura,x,x,http://www.robertoercilla.com/,x,Archinect,Architecture / Design Firm,
AQSO,fax: 0034911019095 / work: 0034917710294,office@aqso.net,https://aqso.net,x,Archinect,Architecture / Design Firm,
beautell arquitectos,work: +34 922897034,info@beautellarquitectos.com,http://www.beautellarquitectos.com/,"Santa Cruz de Tenerife, Spain",Archinect,Architecture / Design Firm,
GGA GARCIAGERMAN ARQUITECTOS,work: +34 915 638 845,info@garciagerman.com,http://www.garciagerman.com/,x,Archinect,Architecture / Design Firm,
DNA BARCELONA ARCHITECTS,x,marketing@dna-arq.com,http://dna-barcelona.com/,"Barcelona, Spain",Archinect,Architecture / Design Firm,
Vilalta Studio,work: +34931702764 / web: www.vilalta.studio,contact@vilalta.studio,http://www.vilalta.studio,"359, Carrer de València, Barcelona, Spain",Archinect,Architecture / Design Firm,
Scalar Architecture,work: 646 342 2244 / http://www.scalararchitecture.com,info@scalararchitecture.com,http://www.scalararchitecture.com,"180, Varick Street, Manhattan, New York, NY, United States",Archinect,Architecture / Design Firm,
GANA Arquitectura,x,info@galisteonavarro.com,http://www.ganaarquitectura.com/,x,Archinect,Architecture / Design Firm,
Mano de Santo,cell: +34 960 03 70 27,press@manodsanto.com,https://architizer.com/firms/mano-de-santo/,"16, Carrer de Maldonado, València, Spain",Archinect,Architecture / Design Firm,
Singular Studio,work: +34 966447029,info@singularstudio.es,http://www.singularstudio.es/,"Xàbia, Spain",Archinect,Architecture / Design Firm,
HozFontán,x,estudio@hozfontanarquitectos.com,http://www.hozfontanarquitectos.com,"San Sebastián, Spain",Archinect,Architecture / Design Firm,
DG Arquitecto Valencia,work: 629196714,dgarquitectovalencia@gmail.com,https://dgarquitecto.blogspot.com,"Valencia, Spain",Archinect,Architecture / Design Firm,
M2Arquitectura: Meritxell Lázaro and Mischa Essletzbichler,x,info@m2arquitectura.es,http://www.m2arquitectura.es/,"Barcelona, Spain",Archinect,Architecture / Design Firm,
CAVAA,cell: +34 678658439,cavaa@cavaa.net,https://architizer.com/firms/cavaa/,"Barcelona, Spain",Archinect,Architecture / Design Firm,
Raúl García Studio,work: (+34) 616 688 570,info@raulgarcia-studio.com,http://www.raulgarcia-studio.com/,"Valencia, Spain",Archinect,Architecture / Design Firm,
FAQ arquitectura,x,estudio@faq-arquitectura.com,http://www.faq-arquitectura.com/,"Seville, Spain",Archinect,Architecture / Design Firm,
Jose Hevia,x,x,https://architizer.com/firms/jose-hevia/,x,Archinect,Architecture / Design Firm,
Zest Architecture,work: +34 932 186 622,info@zestarchitecture.com,http://www.zestarchitecture.com/,"Barcelona, Spain",Archinect,Architecture / Design Firm,
"tecDesign, Inc.",x,x,https://architizer.com/firms/tecdesign-inc/,x,Archinect,Architecture / Design Firm,
Rojo / Fernández-Shaw Arquitectos,x,proyectos@rojofernandezshaw.es,http://www.rojofernandezshaw.es/,x,Archinect,Architecture / Design Firm,
A-cero,fax: +34 917 997 985 / work: +34 917 997 984,a-cero@a-cero.com,http://www.a-cero.com/,x,Archinect,Architecture / Design Firm,
Husos Architects,cell: +34 657133281,plataforma@husos.info,http://husos.info/,x,Archinect,Architecture / Design Firm,
elii [architecture office],work: (+34) 915 048 352,info@elii.es,http://www.elii.es/,"3, Calle Maestro Arbós, Madrid, Spain",Archinect,Architecture / Design Firm,
Patxi Cortazar Arquitecto,x,pcv@patxicortazar.com,http://www.patxicortazar.com/,"Vitoria-Gasteiz, Spain",Archinect,Architecture / Design Firm,
ALT arquitectura,cell: +34 657552410,alt@altarquitectura.es,http://www.facebook.com/pages/Madrid-Spain/ALT-arquitectura-obra/292139597091,x,Archinect,Architecture / Design Firm,
Jordi Surroca,x,x,https://architizer.com/firms/jordi-surroca/,x,Archinect,Architecture / Design Firm,
Simón García,x,x,https://architizer.com/firms/simon-garcia/,x,Archinect,Architecture / Design Firm,
"Sau, Taller D'Arquitectura",x,x,http://www.sausl.com/,x,Archinect,Architecture / Design Firm,
MYCC Oficina de Arquitectura,fax: 912994354 / work: 912994354,mycc@mycc.es,http://www.mycc.es,x,Archinect,Architecture / Design Firm,
Duch-Pizá Arquitectos,x,x,http://www.duchpiza.com/index.asp,x,Archinect,Architecture / Design Firm,
Fernandez-Abascal & Muruzabal,work: 942881458,00077@coacan.es,http://www.fernandezabascal-muruzabal.com/,x,Archinect,Architecture / Design Firm,
LOFT4C,work: +32 3 227 44 28,info@loft4c.be,http://www.loft4c.be/,x,Archinect,Architecture / Design Firm,
CMV Architects,fax: +34.971716805 / work: +34.971720839,cmv@cmv-architects.com,http://www.cmv-architects.com,x,Archinect,Architecture / Design Firm,
Destudio Arquitectura,cell: (+34) 697 69 27 06 / work: (+34) 960 051 910,info@destudio.es,https://destudio.es/,x,Archinect,Architecture / Design Firm,
Leclercq associés,work: 01 44 61 82 82,a.wickrameratne@leclercqassocies.fr,https://www.leclercqassocies.fr/en,x,Archinect,Architecture / Design Firm,
OOIIO,work: +34 912826219,press@ooiio.com,http://www.ooiio.com/,"47, Paseo de San Illan, Madrid, Spain",Archinect,Architecture / Design Firm,
Sanahuja & Partners,work: 0034 963 943 875,info@sanahujapartners.com,http://www.sanahujapartners.com/,"Ibiza, Spain",Archinect,Architecture / Design Firm,
Juana Canet Arquitectos,work: +34 916407925,info@juanacanetarquitectos.com,http://www.juanacanetarquitectos.com/,"Balearic Islands, PM, Spain",Archinect,Architecture / Design Firm,
ANTONIO ALTARRIBA ARQUITECTO,work: 963942225,a_altarriba@hotmail.com,http://www.antonioaltarribaarquitecto.com,"18, Carrer Francesc Carbonell, Rocafort, Spain",Archinect,Architecture / Design Firm,
XVSTUDIO,fax: 0034 93 162 08 92 / work: 0034 93 165 73 14,info@xvstudio.com,http://www.xvstudio.com/,x,Archinect,Architecture / Design Firm,
Valentí Albareda,work: 00 34 933 072 398,info@metricintegra.com,http://metricintegra.com,"Barcelona, Spain",Archinect,Architecture / Design Firm,
Castroferro Arquitectos,work: 0034986229748,info@castroferro.com,http://castroferro.com/,x,Archinect,Architecture / Design Firm,
Ariasrecalde Taller de Arquitectura,work: 00 34 958224546,info@ariasrecalde.com,https://architizer.com/firms/ariasrecalde-taller-de-arquitectura/,"1, Calle Nueva de San Antón, Granada, Spain",Archinect,Architecture / Design Firm,
Carlo Berarducci Architecture,work: 0636306429,studio@berarducciarchitecture.com,http://www.berarducciarchitecture.com/,x,Archinect,Architecture / Design Firm,
munarq,work: 647870067,pau.munar@gmail.com,http://munarq.es/,x,Archinect,Architecture / Design Firm,
Santos y Mera arquitectos,work: +34986842343,info@santos-mera.com,http://www.santos-mera.com/,"Pontevedra, Spain",Archinect,Architecture / Design Firm,
RUE,work: 0034948044060,info@ruespace.com,http://www.ruespace.com/,x,Archinect,Architecture / Design Firm,
METROAREA,work: +39-040-2601662,office@metroarea.it,http://www.metroarea.it/,"Bologna, Italy",Archinect,Architecture / Design Firm,
ARQUITECTURA-G,https://arquitecturag.wordpress.com/,info@arquitectura-g.com,http://arquitecturag.wordpress.com/,x,Archinect,Architecture / Design Firm,
Marcos Miguélez,x,x,https://architizer.com/firms/marcos-miguelez/,x,Archinect,Architecture / Design Firm,
PYO arquitectos,x,info@pyoarquitectos.com,http://www.pyoarquitectos.com/,x,Archinect,Architecture / Design Firm,
Viabizzuno,x,x,https://architizer.com/firms/viabizzuno/,x,Archinect,Architecture / Design Firm,
Arcadi Pla I Masmiquel Arquitecte,work: 972 20 95 03,arcadipla@coac.cat,http://www.arcadipla.net/,x,Archinect,Architecture / Design Firm,
AlbertBrito Architecture,x,estudi@albertbrito.com,http://www.albertbrito.com/,"Badalona, Spain",Archinect,Architecture / Design Firm,
Equipo Olivares Arquitectos,fax: 00 34 922 248489 / work: 00 34 922 243232,info@equipolivares.com,http://equipolivares.com/,x,Archinect,Architecture / Design Firm,
Foraster Arquitectos,work: +34 944 243 730,estudio@forasterarquitectos.com,http://www.forasterarquitectos.com/,"Bilbao, Spain",Archinect,Architecture / Design Firm,
Carles Enrich Arquitectura + Urbanisme,x,x,http://www.carlesenrich.com/?lang=en&utm_source=architizer,x,Archinect,Architecture / Design Firm,
Montserrat Nogués,cell: 609839762 / work: 972217313,noguesbosch@coac.net,http://ammarquitectes.com/,x,Archinect,Architecture / Design Firm,
C+ arquitectos,x,info@cmasarquitectas.net,http://www.cmasarquitectos.net,x,Archinect,Architecture / Design Firm,
dosarquitectes,work: +34 932 846 887,estudi@dosarquitectes.com,http://www.dosarquitectes.com/prov/index.html,"23, Avinguda de Can Baró, Barcelona, Spain",Archinect,Architecture / Design Firm,
Miquel Àngel Lacomba ,work: (+34) 971 458 057,arquitectura@mlacomba.com,http://www.mlacomba.com/,"Palma de Mallorca, Spain",Archinect,Architecture / Design Firm,
Abis Arquitectura Interiorismo,x,estudio@abisarquitectura.com,http://www.abisarquitectura.com,x,Archinect,Architecture / Design Firm,
CSO Arquitectura,x,jda@csoarquitectura.com,http://www.csoarquitectura.com/,x,Archinect,Architecture / Design Firm,
cobaleda & garcia  arquitectos,fax: +34913573171 / work: +34913573171,estudio@cobaleda-garcia.com,http://www.cobaleda-garcia.com,x,Archinect,Architecture / Design Firm,
ferran vizoso architecture,x,x,http://www.ferranvizoso.com/,x,Archinect,Architecture / Design Firm,
osb,cell: +34654104824,info@osbreformas.com,http://www.presupuestoonlinereformasvalencia.com/,"160, Carrer d'Escalante, València, Spain",Archinect,Architecture / Design Firm,
Virseda & Vila Architects,fax: 0034 91 5339240 / work: 0034 91 5339240,alexvirseda@gmail.com,http://www.virseda-vila.com/,"14, Calle Cea Bermúdez, Madrid, Spain",Archinect,Architecture / Design Firm,
