Title,Tele,Email,Web,Addy,Poblacion,Type,Contact Source
Atelier Pod,x,info@kalium.com,atelierpod.com,View on Map,x,Architectural Design Studios,Dexigner
YAD.space,x,hello@yad.space,yad.space,View on Map,x,Interior Design Studios,Dexigner
Bruther,+33 (0)1 45 35 58 96,contact@bruther.biz,bruther.biz,"25 bis, rue Boulard
75014 ParisFrance",x,Architectural Design Studios,Dexigner
Jean-Michel Wilmotte,+33 (0) 1 53 02 22 22,x,wilmotte.fr,"68 Rue du Faubourg Saint-Antoine
75012 ParisFrance",x,Architectural Design Studios,Dexigner
Ade Architectes,+33(0)1.42.74.20.84,x,ade-architectes.fr,"119, rue Vieille du Temple
75003 ParisFrance",x,Architectural Design Studios,Dexigner
Vieillard & Fasciani,+33 4 91 13 40 13,x,vielliardfasciani.com,"2 rue des Muriers
69009 LYONFrance",x,Architectural Design Studios,Dexigner
Post-Office Architectes,x,x,post-office.archi,View on Map,x,Architectural Design Studios,Dexigner
James Bansac Architects,+33 (0)4 27 44 15 51,x,james-bansac.com,"14b rue Catherine Favre
69008 LyonFrance",x,Architectural Design Studios,Dexigner
Dominique Perrault,+33 (1)44 06 00 00,x,perraultarchitecte.com,"6 Rue Bouvier
75011 ParisFrance",x,Architects,Dexigner
Rodolphe Parente,+33616124786,x,rodolpheparente.com,"3 rue Henri Dubouillon
Paris 75020France",x,Architects,Dexigner
Bernard Tschumi Architects,+33 153 01 90 70,v.descharrieres@tschumi.com / btua@tschumi.com / jrutten@tschumi.com / resumes_nyc@tschumi.com / nyc@tschumi.com / resumes_paris@tschumi.com / ebilan@tschumi.com / alopezserfozo@tschumi.com,tschumi.com,"6 Rue Beaubourg
75004 ParisFrance",x,Architecture Companies,Dexigner
Jakob + MacFarlane,+33 (0)1 44 79 05 72,info@jakobmacfarlane.com / press@jakobmacfarlane.com / cv@jakobmacfarlane.com,jakobmacfarlane.com,"13-15 rue des petites ecuries
75010, ParisFrance",x,Architecture Companies,Dexigner
Ateliers Jean Nouvel,+33 1 49 23 83 83,info@jeannouvel.fr,jeannouvel.com,"10 Cite d'Angouleme
75011 ParisFrance",x,Architecture Companies,Dexigner
OSLO architectes,03 88 60 16 00,contact@oslo-architectes.fr,oslo-architectes.fr,"2, allée d'Oslo
67300 StrasbourgFrance",x,Architecture Companies,Dexigner
(ma!ca),x,contact@maca-archi.com / niki@maca-archi.com / marine@maca-archi.com / leaflet@1.2.0 / camille@maca-archi.com / maya@maca-archi.com,maca-archi.fr,View on Map,x,Architecture Companies,Dexigner
Erik Giudice Architects,+ 33 (0) 1 43 38 37 08,work@erikgiudice.com / bernard.lamothe@innovationnorway.no / press@erikgiudice.com,erikgiudice.com,"5 rue de Charonne
75011 ParisFrance",x,Architecture Companies,Dexigner
Studio Gang,work: 773.384.1212,press@studiogang.com,https://studiogang.com/,"124, Rue Réaumur, Paris, France",x,Architecture / Design Firm,Architizer
Cosentini Associates,fax: 212-615-3700 / work: 212-615-3600,info@cosentini.com,http://www.cosentini.com/,"Shanghai, China",x,Architecture / Design Firm,Architizer
archi5,fax: +33 141 72 27 20 / work: +33 141 72 27 27,communication@archi5.fr,http://www.archi5.fr,"48, Rue Voltaire, Montreuil, France",x,Architecture / Design Firm,Architizer
Dorell.Ghotmeh.Tane / Architects (DGT),work: +33 1 43 38 12 47,contact@dgtarchitects.com,http://www.dgtarchitects.com/news/en,"75, Rue de la Fontaine au Roi, Paris, France",x,Architecture / Design Firm,Architizer
Arquitectonica,work: 305.372.1812 / work: 1 (212) 254-2700 / http://arquitectonica.com/,manila@arquitectonica.com,http://arquitectonica.com/,"9, Rue Bleue, Paris, France",x,Architecture / Design Firm,Architizer
designbuildLAB,x,x,http://www.designbuildlab.org/,"Grenoble, France",x,Architecture / Design Firm,Architizer
Wilmotte & Associés SAS,fax: +33 (0)1 43 44 17 11 / work: +33 (0)1 53 02 22 22,com@wilmotte.fr,http://www.fondation-entreprise-wilmotte.fr/,"68, Rue du Faubourg Saint-Antoine, Paris, France",x,Architecture / Design Firm,Architizer
OFIS architects,fax: +38614260085 / work: +38614260084,ofis@ofis.si,http://www.ofis.si/,"4, Impasse de Mont-Louis, Paris, France",x,Architecture / Design Firm,Architizer
GMAA - GM Architectes Associés,work: +41 22 786 32 00,contact@gmaa.fr,http://www.gmaa.ch/,"Geneva, Switzerland",x,Architecture / Design Firm,Architizer
Coldefy,work: +33 3 20 40 26 80,contact@caau.fr,http://caau.fr/,"Rue Jean Prouvé, Lille, France",x,Architecture / Design Firm,Architizer
Bollinger+Grohmann,x,office@bollinger-grohmann.com,http://www.bollinger-grohmann.com/en.home.html,"Budapest, Hungary",x,Architecture / Design Firm,Architizer
babin + renaud architectes,work: + 33 (0)143465656,contact@babin-renaud.com,http://www.babin-renaud.com/,"Paris, France",x,Architecture / Design Firm,Architizer
A+Architecture,work: + 33 (0) 499 742 742,communication@aplus-architecture.com,http://www.aplus-architecture.com/,"Paris, France",x,Architecture / Design Firm,Architizer
GRAAL ARCHITECTURE,work: +33(0)1 43 55 85 74 / http://graalarchitecture.com/,contact@graalarchitecture.com,http://graalarchitecture.com/,"29, Rue des Trois Bornes, Paris, France",x,Architecture / Design Firm,Architizer
Vallet de Martinis architectes,work: +33 144 753 769,contact@valletdemartinis.com,http://www.valletdemartinis.com/,"Paris, France",x,Architecture / Design Firm,Architizer
Atelier Stéphane Fernandez,work: +33 0442993714,stephane.fernandez@fernandez-serres.com,http://atelier-stéphane-fernandez.co/,"Aix-en-Provence, France",x,Architecture / Design Firm,Architizer
FREAKS freearchitects,x,contact@freaksarchitecture.com,http://www.freaksarchitecture.com/,"Paris, France",x,Architecture / Design Firm,Architizer
Avenier Cornejo Architectes,x,agence@avenier-cornejo.com,http://www.avenier-cornejo.com/,"80, Rue du Faubourg Saint-Denis, Paris, France",x,Architecture / Design Firm,Architizer
LCR ARCHITECTES,work: +33534273725 / work: +33534273727,communication@lcrarchitectes.fr,http://www.lcrarchitectes.fr/,"75, Rue Saint-Jean, Balma, France",x,Architecture / Design Firm,Architizer
SCHEMAA,work: +33144650846 / http://www.schemaa.fr/,contact@schemaa.fr,http://www.schemaa.fr/,"Paris, France",x,Architecture / Design Firm,Architizer
Mabire Reich Architectes,x,x,http://www.mabire-reich.com/,"Nantes, France",x,Architecture / Design Firm,Architizer
AEDS | Ammar Eloueini Digit-all Studio,work: 504 354 9633,info@digit-all.net,http://www.digit-all.net/,"5, Rue de l'Harmonie, Paris, France",x,Architecture / Design Firm,Architizer
SCAPE,work: 0033142465133,offscape@scape.it,http://www.scape.it/,"1, Cité Paradis, Paris, France",x,Architecture / Design Firm,Architizer
MAAJ ARCHITECTES,work: 01 86 95 82 85,maaj@maaj.fr,http://www.maaj.fr/,"Paris, France",x,Architecture / Design Firm,Architizer
Atelier Zündel Cristea,work: +331 55 25 24 94,agence@azc.archi,http://www.zundelcristea.com,"15, Rue Vulpian, Paris, France",x,Architecture / Design Firm,Architizer
STUDIOS Architecture,work: +91 88 79 030317 / work: +33 1 44 95 86 60 / work: +1 202 736 5900 / work: +1 415 398 7575 / work: +1 212 431 4512,info@studios.com,http://www.studios.com/,"588, Broadway, Manhattan, New York, NY, United States",x,Architecture / Design Firm,Architizer
Antonini Darmon Architects,work: +33 1 78 33 27 09,contact@antonini-darmon.fr,http://www.antonini-darmon.fr/,"Paris, France",x,Architecture / Design Firm,Architizer
PCA-STREAM,work: +33 1 4493 9000,pca@pca-architecture.com,https://www.pca-stream.com/fr/,"56/58, Rue Vieille du Temple, Paris, France",x,Architecture / Design Firm,Architizer
marjan hessamfar & joe verons architectes associes,x,presse@hessamfar-verons.fr,http://www.hessamfar-verons.fr/,"4, Rue Martel, Paris, France",x,Architecture / Design Firm,Architizer
studio razavi architecture,work: +33 1 42 46 02 58,info@studiorazavi.com,http://studiorazavi.com/,"New York, NY, United States",x,Architecture / Design Firm,Architizer
PETITDIDIERPRIOUX,work: +33 (0)1 58 30 53 53,admin@e-ppx.net,http://petitdidierprioux.com/,"47, Rue Popincourt, Paris, France",x,Architecture / Design Firm,Architizer
Plan01,work: +33 1 53 33 24 01,contact@plan01.com,http://www.plan01.com/,"Paris, France",x,Architecture / Design Firm,Architizer
Gianni Ranaulo Design,work: 04 427 0410,Press@gianniranaulo.com,http://gianniranaulo.com,"Dubai, United Arab Emirates",x,Architecture / Design Firm,Architizer
Ateliers 2/3/4/,work: +33 (0)1 55 25 15 10,234@a234.fr,http://www.a234.fr/,"234, Rue du Faubourg Saint-Antoine, Paris, France",x,Architecture / Design Firm,Architizer
ARCHITECTURES DAVID TAJCHMAN,x,david@davidtajchman.com,http://www.davidtajchman.com/,"Tel Aviv-Yafo, Israel",x,Architecture / Design Firm,Architizer
BarbaritoBancel Architectes,x,bbteam@barbaritobancel.com,http://www.barbaritobancel.com/,"Paris, France",x,Architecture / Design Firm,Architizer
Galerie Patrick Seguin,work: +33 1 47 00 32 35,info@patrickseguin.com,http://www.patrickseguin.com/en/,"47, Brook Street, London, United Kingdom",x,Architecture / Design Firm,Architizer
CAB ARCHITECTES,work: +33 4 93 16 17 57,press@cabarchitectes.com,http.//www.cabarchitectes.com,"33, Rue Linné, Paris, France",x,Architecture / Design Firm,Architizer
Dominique Coulon & Associés,work: +33 (0) 3 88 32 17 61 / fax: +33 (0) 3 88 32 26 43,presse@coulon-architecte.fr,http://www.coulon-architecte.fr/,"13, Rue de la Tour des Pecheurs, Strasbourg, France",x,Architecture / Design Firm,Architizer
Baumschlager Eberle Architekten,work: 0043 1 90 49 165-0 ,be-services@baumschlager-eberle.com,http://www.baumschlager-eberle.com/,"Nguyễn Huệ, Bến Nghé, Quận 1, Hồ Chí Minh, Vietnam",x,Architecture / Design Firm,Architizer
PPA architectures,work: 0033562214010,info@ppa-a.fr,http://www.ppa-a.fr,"9, Rue Jeanbernat, Toulouse, France",x,Architecture / Design Firm,Architizer
Hamonic+Masson & Associés,work: +33 (0)153629943 / work: +33 (0)153629943,contact@hamonic-masson.com,http://hamonic-masson.com,"Paris, France",x,Architecture / Design Firm,Architizer
Dietrich | Untertrifaller,x,auw@dietrich.untertrifaller.com,http://www.dua.cc,"Bregenz, Austria",x,Architecture / Design Firm,Architizer
AUM Pierre Minassian,work: +33 (0) 478288035,agence-lyon@aum.fr,https://architizer.com/firms/aum-architecture/,"1, Rue Jean Jaurès, Annecy, France",x,Architecture / Design Firm,Architizer
OUALALOU+CHOI (formerly KILO),work: + 33 (0)1 53 10 02 99 / http://www.oualalouchoi.com/,info@oualalouchoi.com,http://www.oualalouchoi.com/,"Boulevard Rachidi, Casablanca, Morocco",x,Architecture / Design Firm,Architizer
DU BESSET-LYON ARCHITECTES,work: 0033143671675,email@dubesset-lyon.com,http://www.dubesset-lyon.com/,"Paris, France",x,Architecture / Design Firm,Architizer
MNM architectes,http://www.mnm-architecte.fr/,mnmarchi@gmail.com,http://www.mnm-architecte.fr/,"Rennes, France",x,Architecture / Design Firm,Architizer
GENS,work: 0033 9 51 98 84 49,contact@gens.archi,http://www.gens.archi/,"Nancy, France",x,Architecture / Design Firm,Architizer
NBJ architects,fax: +33 4 6792 5177 / work: +33 4 6792 5117,elodie@nbj-archi.com,http://www.nbj-archi.com/,"4, Rue Trésoriers de la Bourse, Montpellier, France",x,Architecture / Design Firm,Architizer
VS-A,work: +33 (0)3.20.52.11.44 ,communication@vs-a.eu,http://www.vs-a.net/,"Seoul, South Korea",x,Architecture / Design Firm,Architizer
BFV ARCHITECTES,x,contact@bfv.team,http://bfv.team/fr#/home,"2, Rue Labois-Rouillon, Paris, France",x,Architecture / Design Firm,Architizer
Architecture Patrick Mauger,work: 0033147008282,info@patrickmauger.com,http://www.patrickmauger.com/,"Paris, France",x,Architecture / Design Firm,Architizer
atelier d'architecture King Kong,work: +33 (0)5 56 43 08 69,atelier@kingkong.fr,http://www.kingkong.fr/,"Paris, France",x,Architecture / Design Firm,Architizer
XTU architects,x,press@x-tu.com,http://www.x-tu.com,"Paris, France",x,Architecture / Design Firm,Architizer
Arep Group,work: +33 1 57 27 15 00,contact@arep.fr,http://www.arepgroup.com/,"Abu Dhabi, United Arab Emirates",x,Architecture / Design Firm,Architizer
Brengues Le Pavec architects,work: 04 67 92 47 99,agence@brengues-lepavec.com,http://www.brengues-lepavec.com/,"Montpellier, France",x,Architecture / Design Firm,Architizer
a+ samueldelmas architectes urbanistes,x,aplus.communication@samueldelmas.fr,http://www.aplus-samueldelmas.fr/,"Paris, France",x,Architecture / Design Firm,Architizer
Artelabo,work: +33 [0]4 67 57 63 86,x,http://www.artelabo.fr/,"Gignac, France",x,Architecture / Design Firm,Architizer
studiolada architectes,x,contact@studiolada.fr,http://www.studiolada.fr/,"Nancy, France",x,Architecture / Design Firm,Architizer
Agence Philippe Fichet,work: 0033 1 42 68 00 45,agence@fichet-architectes.com,http://www.fichet-architectes.com/,"36, Rue de Longchamp, Paris, France",x,Architecture / Design Firm,Architizer
bonte et migozzi architectes,cell: 0033 0684957017 / work: 00 33 0496103421,bonte.migozzi@wanadoo.fr,http://bonte-migozzi.com/,"Marseille, France",x,Architecture / Design Firm,Architizer
Thomas Landemaine Architectes,cell: 0629808981 / work: 0973581714,contact@landemaine.com,http://www.landemaine.com/,"Paris, France",x,Architecture / Design Firm,Architizer
H2O Architectes,fax: 00 33 (0)1 44 54 91 64 / work: 00 33 (0)9 64 00 52 81,x,http://www.h2oarchitectes.com/,"18, Rue du Sentier, Paris, France",x,Architecture / Design Firm,Architizer
LAN Architecture,work: +33 1 43 70 00 60 / http://www.lan-paris.com/,press@lan-paris.com,http://www.lan-paris.com/,"25, Rue d'Hauteville, Paris, France",x,Architecture / Design Firm,Architizer
Dietmar Feichtinger Architectes,fax: +33 (0)1 43 70 67 20 / work: +33 (0)1 43 71 15 22,contact.paris@feichtingerarchitectes.com,http://www.feichtingerarchitectes.com/,"Montreuil, France",x,Architecture / Design Firm,Architizer
Nomade Architectes,work: +33 140 18 47 63,communication@nomade.info,http://www.nomade.info/,"9, Rue de Domrémy, Paris, France",x,Architecture / Design Firm,Architizer
GARDERA-D,work: +33 (0)1 44 62 22 91,info@gardera-d.com,http://gardera-d.com/,"Biarritz, France",x,Architecture / Design Firm,Architizer
STUDIO 02,x,info@studio-02.com,http://www.studio-02.com/,"1, Rue Carnot, Vannes, France",x,Architecture / Design Firm,Architizer
Mikou Design Studio,fax: ++33 1 42 97 47 76 / work: ++33 1 44 54 13 40,office@mikoustudio.com,http://www.mikoustudio.com,"2, Boulevard Malesherbes, Paris, France",x,Architecture / Design Firm,Architizer
Ameller Dubois & Associés,work: 33153171719 / http://www.ameller-dubois.fr/,f.allinne@ameller-dubois.fr,http://www.ameller-dubois.fr/,"8, Impasse Druinot, Paris, France",x,Architecture / Design Firm,Architizer
WY-TO,work: +65 6438 4090,contact@wy-to.com,http://www.wy-to.com/,"Paris, France",x,Architecture / Design Firm,Architizer
ECDM Architectes,work: 33 1 44 93 20 60,contact@ecdm.fr,http://ecdm.eu/,"38, Rue du Mont Thabor, Paris, France",x,Architecture / Design Firm,Architizer
PERIPHERIQUES Architectes,x,x,http://www.peripheriques-architectes.com/,"Paris, France",x,Architecture / Design Firm,Architizer
BERIM,x,x,http://www.berim.fr/fr/,"Pantin, France",x,Architecture / Design Firm,Architizer
Martin Duplantier Architectes,work: +33 1 42 81 48 42,info@martinduplantier.com,http://www.debarreduplantiers.com/,Singapore,x,Architecture / Design Firm,Architizer
SCAU architecture,fax: +33 1 40 788 598 / work: +33 1 40 788 400,x,http://www.scau.com,"35, Rue Tournefort, Paris, France",x,Architecture / Design Firm,Architizer
antonio virga architecte,work: +33 1 48 00 01 25,contact@antoniovirgaarchitecte.com,http://www.antoniovirgaarchitecte.com/,"Paris, France",x,Architecture / Design Firm,Architizer
PietriArchitectes,work: +33(0)1 44 78 68 48,sleroux@jbpa.fr,http://www.pietriarchitectes.com/,"Paris, France",x,Architecture / Design Firm,Architizer
DeA architectes,fax: +33 (0)9 70 62 85 43 / work: +33 (0)3 89 32 52 95,a.kerval@dea-architectes.com,http://www.dea-architectes.com/,"9, Avenue Auguste Wicky, Mulhouse, France",x,Architecture / Design Firm,Architizer
GAETAN LE PENHUEL & ASSOCIATES ARCHITECTS,work: + 01 43 57 22 77,archi@lepenhuel.net,http://www.lepenhuel.net,"23, Rue de Cléry, Paris, France",x,Architecture / Design Firm,Architizer
PARC Architectes,work: +33 (0)1 75 43 95 69,agence@parc-architectes.eu,http://www.parc-architectes.eu/,"Paris, France",x,Architecture / Design Firm,Architizer
Triptyque Architecture,work: +55 11 3081 3565,com@triptyque.com,http://triptyque.com/,"38, Rue de Rochechouart, Paris, France",x,Architecture / Design Firm,Architizer
Atelier Benjamin Fleury,work: 01 42 87 94 24,atelier@benjaminfleury.com,http://www.benjaminfleury.com/,"Rue Etienne Marcel, Bagnolet, France",x,Architecture / Design Firm,Architizer
D'HOUNDT+BAJART architects&associates,cell: +33 674 79 90 64,vdhoundt@dhoundtplusbajart.fr,http://www.dhoundtplusbajart.fr/,"Tourcoing, France",x,Architecture / Design Firm,Architizer
Gayet-Roger Architects,fax: 05 57 88 49 49 / work: 05 57 89 49 42,agence@gayetroger.fr,http://www.pepitomicorazon.fr/,"Bordeaux, France",x,Architecture / Design Firm,Architizer
Atelier Delphine Carrère,work: +33 5 59 22 52 26,delphinec@atelierdc.com,http://www.atelierdc.com/,"55, Rue d'Espagne, Biarritz, France",x,Architecture / Design Firm,Architizer
NZI Architectes,x,nzi@nzi.fr,http://www.nzi.fr/,"6, Impasse de Mont-Louis, Paris, France",x,Architecture / Design Firm,Architizer
Moussafir Architectes,x,contact@moussafir.fr,http://www.moussafir.fr/,"5, Rue du Vertbois, Paris, France",x,Architecture / Design Firm,Architizer
Atelier Filippini,fax: 01 43 57 09 09 / work: 01 43 57 06 10,contact@atelierfilippini.com,http://atelierfilippini.com/,"29, Rue des Trois Bornes, Paris, France",x,Architecture / Design Firm,Architizer
Duncan Lewis SCAPE ARCHITECTURE,x,contact@d-lewisarchitecture.com,http://www.duncan-lewis.com/,"Bordeaux, France",x,Architecture / Design Firm,Architizer
TVK,work: +33 1 47 00 04 62,agence@tvk.fr,http://republique.tvk.fr/,"23, Rue Olivier Métra, Paris, France",x,Architecture / Design Firm,Architizer
Métalobil,work: 02 40 69 56 03,clic@metalobil.fr,http://www.metalobil.fr/,"Nantes, France",x,Architecture / Design Firm,Architizer
ADH,work: 05 56 44 10 20,adh@doazan-hirschberger.com,http://www.doazan-hirschberger.com/,"45, Place des Martyrs de la Résistance, Bordeaux, France",x,Architecture / Design Firm,Architizer
NeM / Niney et Marca Architectes,x,contact@nemarchitectes.com,http://www.nemarchitectes.com/,"1, Boulevard de Belleville, Paris, France",x,Architecture / Design Firm,Architizer
Atelier(s) Alfonso Femia,work: +39 02 54 01 97 01 (Milan) / work: - +39 010 54 00 95 (Genoa) / work: +33 1 42 46 28 94 (Paris) ,com@cinqplusun.com,http://www.500x100.com/,"Milan, Italy",x,Architecture / Design Firm,Architizer
PAN architecture,fax: +00 33 (0)9 72 41 378 39 / cell: +00 33 (0)6 10 51 04 17 / work: +00 33 (0)9 72 41 38 77,agence@panarchitecture.fr,http://panarchitecture.fr,"11, Boulevard Longchamp, Marseille, France",x,Architecture / Design Firm,Architizer
Atelier Roberta,work: +33 (0)1 83 62 69 90,contact@atelierroberta.com,http://www.atelierroberta.com/,"8, Dunes Street, Paris, France",x,Architecture / Design Firm,Architizer
ESPAGNO MILANI architectes,work: +33 561 23 79 23,architectes@espagno-milani.fr,http://www.espagno-milani.fr/,"18, Rue de Tivoli, Toulouse, France",x,Architecture / Design Firm,Architizer
WAW Architectes,work: +33 1 83 81 98 76,agence@waw.archi,http://www.waw.archi/,"226, Rue Saint-Denis, Paris, France",x,Architecture / Design Firm,Architizer
Guillaume Ramillien Architecture,x,gramillienarchitecture@gmail.com,http://www.guillaumeramillien.fr/,"Paris, France",x,Architecture / Design Firm,Architizer
Arro.studio,work: +33981958489,contact@arro-studio.com,http://www.arro-studio.com/,"24, Rue Ravignan, Paris, France",x,Architecture / Design Firm,Architizer
Olivier Werner Architecte,x,owa@orange.fr,http://www.ow-a.fr/,"16, Rue de la Pierre Levée, Paris, France",x,Architecture / Design Firm,Architizer
Heintz-Kehr and Associates,work: +0033 (0)3 88 32 64 84,contact@heintz.archi,http://www.heintz.archi/,"Strasbourg, France",x,Architecture / Design Firm,Architizer
Tectoniques Architects,work: 33 478 30 06 56,x,http://tectoniques.com/,"11, Boulevard Eugène Deruelle, Lyon, France",x,Architecture / Design Firm,Architizer
Martial Marquet Studio,x,martialmarquet@gmail.com,http://martialmarquet.com/,"Pantin, France",x,Architecture / Design Firm,Architizer
Andrea Mosca Creative Studio,cell: +33 6 63694346,andrea@andreamosca.com,http://www.andreamosca.com/,"11, Rue Flatters, Paris, France",x,Architecture / Design Firm,Architizer
KOZ architectes,work: +33153332430,contact@koz.fr,http://www.koz.fr/,"Paris, France",x,Architecture / Design Firm,Architizer
WIMM,work: +33 (0)4 76 48 48 48,agence@wimm.fr,http://www.wimm.fr/,France,x,Architecture / Design Firm,Architizer
BRUTHER,work: + 33 (0)1 45 35 58 96,contact@bruther.biz,http://bruther.biz/,"Paris, France",x,Architecture / Design Firm,Architizer
NAS Architecture,work: +33 4 6767 1873,contact@nasarchitecture.com,http://www.facebook.com/pages/NAS-Architecture/14https://www.facebook.com/pages/NAS-Architecture/1443398585919971,"Montpellier, France",x,Architecture / Design Firm,Architizer
Bartolo Villemard Architecture Urbanisme,x,agence@bvau.fr,http://www.bvau.fr/en,"Paris, France",x,Architecture / Design Firm,Architizer
Ola Studio,work: +61 3 9942 0812,hello@olastudio.com.au,http://www.olastudio.com.au/,"Melbourne, Australia",x,Architecture / Design Firm,Architizer
LOG-architectes,fax: +33 9 57 86 14 40  / work: +33 1 48 03 32 63  / http://www.logarchitectes.com,agence@logarchitectes.com,http://www.logarchitectes.com/,"79, Rue du Faubourg du Temple, Paris, France",x,Architecture / Design Firm,Architizer
Oglo,work: +33(0)184160578,contact@oglo.fr,http://www.oglo.fr/,"80, Rue du Moulin Vert, Paris, France",x,Architecture / Design Firm,Architizer
Zébra3 / Buy-Sellf,work: 09 52 18 88 29 / http://www.buy-sellf.com,zebra3@buy-sellf.com,http://www.buy-sellf.com/,"2, Rue Marc Sangnier, Bègles, France",x,Architecture / Design Firm,Architizer
Architectures Anne Démians,work: 33 1 42 47 95 90,architectures@annedemians.com,http://www.annedemians.com/,"15, Rue de Chabrol, Paris, France",x,Architecture / Design Firm,Architizer
Platform Architectures,x,x,http://www.platform.pro/architectures/agence,"17, Rue Richard Lenoir, Paris, France",x,Architecture / Design Firm,Architizer
ALBERT ANGEL Architecture & Interior Design,x,info@albert-angel.com,http://www.albert-angel.com/,"44-46, Rue de la Bienfaisance, Paris, France",x,Architecture / Design Firm,Architizer
SKP Architecture,work: 0158545305 / http://www.skp-architecture.com/,contact@skp-architecture.com,http://www.skp-architecture.com/,"21, Rue de la Forge Royale, Paris, France",x,Architecture / Design Firm,Architizer
Anthony Roubaud Architecte,work: 01.83.81.98.30,agence@anthonyroubaud.fr,http://www.anthonyroubaud.fr,"43, Rue Beaubourg, Paris, France",x,Architecture / Design Firm,Architizer
"JFS architectes, Jean François Schmit",work: +33 01 44 06 61 00 ,atelier@jf-schmit.fr,http://jf-schmit.fr/,"48, Rue Eugène Oudiné, Paris, France",x,Architecture / Design Firm,Architizer
Bond Society,work: +33186959482,office@bond-society.com,http://www.bond-society.com/,"Paris, France",x,Architecture / Design Firm,Architizer
rhb architectes,work: +33 9 81 43 57 36,agence@rhb-architectes.com,http://rhb-architectes.com/,"13, Rue du Général de Castelnau, Strasbourg, France",x,Architecture / Design Firm,Architizer
GUILLAUME JOUNET LACOSTE,cell: +33637834243,contact@guillaumejounetlacoste.com,http://www.pinterest.com/holduparchitect/,"Oslo, Norway",x,Architecture / Design Firm,Architizer
Bureau Architectures Sans Titre,work: +33 980 326 194,bureau@bast0.com,http://www.bast0.com/,"55, Rue Riquet, Toulouse, France",x,Architecture / Design Firm,Architizer
"SELARL dB, A",work: 0328212525,dbail@nordnet.fr,https://architizer.com/firms/selarl-db-a/,"125, Rue Bel-air, Dunkirk, France",x,Architecture / Design Firm,Architizer
Alia Bengana architect,http://issuu.com/aliabengana/docs/book2015?utm_source=conversion_success&utm_campaign=Transactional&utm_medium=email,x,http://issuu.com/aliabengana/docs/book2015?utm_source=conversion_success&utm_campaign=Transactional&utm_medium=email&utm_source=architizer,"Paris, France",x,Architecture / Design Firm,Architizer
collectif saga,work: +33 (0)272225586,3615@collectifsaga.com,http://www.collectifsaga.com/,"Port Elizabeth, South Africa",x,Architecture / Design Firm,Architizer
