Title,Tele,Email,Web,Addy,Contact Source,Type,More Info,Lujo
RUIZ PARDO - NEBREDA,work: 34 609 54 63 10,office@ruizpardo-nebreda.com,http://www.ruizpardo-nebreda.com/,"Moncloa - Aravaca, Madrid, Spain",Architizer,Architecture / Design Firm,,False
OHLAB / oliver hernaiz architecture lab,work: 0034971919909,info@ohlab.net,http://www.ohlab.net/,"6a, Carrer Manuel Guasp, Palma, Spain",Architizer,Architecture / Design Firm,,True
RCR Arquitectes,x,rcr@rcrarquitectes.es,http://www.rcrarquitectes.es/,"26, Carrer Fontanella, Olot, Spain",Architizer,Architecture / Design Firm,,False
CrystalZoo,work: +34 965 20 21 20,joseluiscampos@crystalzoo.net,http://www.crystalzoo.eu/,"Alicante, Spain",Architizer,Architecture / Design Firm,,False
LPA STUDIO,work: 00 34 915 678 409 / work: 00 34 928 32 30 54,info@l-p-a.org,http://www.l-p-a.org/,"Calle Luis Doreste Silva, Las Palmas de Gran Canaria, Spain",Architizer,Architecture / Design Firm,,False
Aquidos Arquitectes,work: +34 932 440 590,aquidos@aquidos.com,http://www.aquidos.com,"18, Carrer de Bertran, Barcelona, Spain",Architizer,Architecture / Design Firm,,False
MVN Arquitectos,work: +34915431753 / http://www.mvn-arquitectos.com/,mvn@mvn-arquitectos.com,http://www.mvn-arquitectos.com/,"Calle Explanada, Madrid, Spain",Architizer,Architecture / Design Firm,,True
Lighting Design Collective,work: +34911885851,info@ldcol.com,http://www.ldcol.com,"London, United Kingdom",Architizer,Architecture / Design Firm,,False
BAD. Built by Associative Data,work: +96170310310 / work: +34 633359900 / work: +961 1 340 342,info@bbad.co,http://bbad.co,"Dublin, Ireland",Architizer,Architecture / Design Firm,,False
Gus Wüstemann Architects,x,architects@guswustemann.com,http://www.guswustemann.com/,"Escullera de Poblenou, Barcelona, Spain",Architizer,Architecture / Design Firm,,True
GCA Architects,work: +34 93.476.18.00,info@gcaarq.com,http://www.gcaarq.com/,"Barcelona, Spain",Architizer,Architecture / Design Firm,,False
CUAC Arquitectura,x,info@cuacarquitectura.com,http://www.cuacarquitectura.com/,"17, Calle San Jerónimo, Granada, Spain",Architizer,Architecture / Design Firm,,True
Estudio ji Architects,cell: +34676973501 / work: +34965842845,info@estudioji.com,http://www.estudioji.com/,"41, Calle Conde de Altea, Altea, Spain",Architizer,Architecture / Design Firm,,True
Israel Alba,http://www.israelalba.com/en,info@israelalba.com,http://www.israelalba.com/en,"24, Calle Tarragona, Madrid, Spain",Architizer,Architecture / Design Firm,,False
JOFRE ROCA ARQUITECTES,fax: +34932269175 / work: +34932269175 / https://www.jofreroca.com/,estudi@jofreroca.com,https://www.jofreroca.com/,"Barcelona, Spain",Architizer,Architecture / Design Firm,,True
GUILLEM CARRERA arquitecte,cell: +34 678 157 483 / work: +34 977 92 06 56 / http://www.guillemcarrera.com/,guillemcarrera@coac.net,http://www.guillemcarrera.com/,"Tarragona, Spain",Architizer,Architecture / Design Firm,,True
peris+toral.arquitectes,x,estudio@peristoral.com,http://www.peristoral.com/,"Carrer de Sant Antoni Abat, Barcelona, Spain",Architizer,Architecture / Design Firm,,False
Gianni Ranaulo Design,work: 04 427 0410,Press@gianniranaulo.com,http://gianniranaulo.com,"Dubai, United Arab Emirates",Architizer,Architecture / Design Firm,,False
SV60 Cordón & Liñán Arquitectos,work: +34 954382002,sv60@agcordon.com,http://www.sv60.es/,"Seville, Spain",Architizer,Architecture / Design Firm,,True
Valentí Albareda Studio,work: 687606865,valenti@metricintegra.com,https://architizer.com/firms/val/,"55, Carrer de la Riera de Sant Miquel, Barcelona, Spain",Architizer,Architecture / Design Firm,,False
Estudio López Osorio,x,lopezosoriojm@gmail.com,https://architizer.com/firms/jose-manuel-lopez-osorio/,"Granada, Spain",Architizer,Architecture / Design Firm,,False
DaoLab,cell: +34 600 518 212 / cell: +1 415 601 8543,dao.lab@gmail.com,http://www.daolab.com/,"San Francisco, CA, United States",Architizer,Architecture / Design Firm,,False
ANGOSTO E IBAÑEZ ARQUITECTOS,work: +34 868960880 / work: +34 868960880 / https://www.instagram.com/aiarquitectos/,aiarquitectosestudio@gmail.com,https://www.instagram.com/aiarquitectos/,"Cieza, Spain",Architizer,Architecture / Design Firm,,False
Mensulae | Architecture & Heritage,work: +34 958194789 / work: +34 958194789,info@mensulae.com,https://www.mensulae.com/,"27, Calle Alhóndiga, Granada, Spain",Architizer,Architecture / Design Firm,,False
studioVRA,x,info@studiovra.com,http://studiovra.com/,"New Orleans, LA, United States",Architizer,Architecture / Design Firm,,False
PichArchitects,work: 0034 933 016 457,pr@picharchitects.com,http://www.picharchitects.com/,"Barcelona, Spain",Architizer,Architecture / Design Firm,,True
Pepe Gascón Arquitectura,work: 0034 937850623,info@pepegascon.com,http://www.pgarquitectura.es,"Barcelona, Spain",Architizer,Architecture / Design Firm,,True
Rubén Muedra Estudio de Arquitectura,work: +34 960 716 507,info@rubenmuedra.com,http://www.rubenmuedra.com,"Carrer de Sorní, València, Spain",Architizer,Architecture / Design Firm,,True
langarita-navarro,work: 34 91 564 59 84 / http://www.langarita-navarro.com/,estudio@langarita-navarro.com,http://www.langarita-navarro.com/,"8, Calle Grijalba, Madrid, Spain",Architizer,Architecture / Design Firm,,True
"marià castelló, architecture",work: 0034971328046,mcastello@m-ar.net,https://www.instagram.com/mcastello_arch,"Balearic Islands, PM, Spain",Architizer,Architecture / Design Firm,,True
Office of Architecture in Barcelona,x,info@ferrater.com,https://architizer.com/firms/office-of-architecture-in-barcelona/,"145, Carrer de Balmes, Barcelona, Spain",Architizer,Architecture / Design Firm,,True
NOMO STUDIO,work: +34 935 340 790,hello@nomostudio.eu,http://www.nomostudio.eu/,"80, Carrer de Marià Cubí, Barcelona, Spain",Architizer,Architecture / Design Firm,,True
Fernando Menis,work: 922 288 838,comunicacion@menis.es,http://www.menis.es/,"35, Calle Puerta Canseco, Santa Cruz de Tenerife, Spain",Architizer,Architecture / Design Firm,,False
TANGRAM Arquitectura + Diseño,work: 0034 605029262 / https://www.tangramarquitectura.es/,info@tangramarquitectura.es,https://www.tangramarquitectura.es/,"Zaragoza, Spain",Architizer,Architecture / Design Firm,,True
MIRAG Millet Ramoneda,fax: +34 93 476 28 12 / work: +34 93 476 28 11 / http://www.mirag.net/,mirag@mirag.net,http://www.mirag.net/,"Eixample, Barcelona, Spain",Architizer,Architecture / Design Firm,,True
Otto Medem Arquitectura S.L.,x,estudio@ottomedem.es,https://ottomedem.es/,"Pozuelo, Spain",Architizer,Architecture / Design Firm,,True
Nook Architects,x,nookpeople@gmail.com,http://www.nookarchitects.com/,"258, Carrer de Lepant, Barcelona, Spain",Architizer,Architecture / Design Firm,,True
arnau estudi d'arquitectura,work: 972267030,info@arnauestudi.cat,http://www.arnauestudi.cat/,"3, Plaça Clara, Olot, Spain",Architizer,Architecture / Design Firm,,True
Egue y Seta,work: +34 981 118 089 / work: +34 912 999 994 / work: + 34 931 791 992,coruna@egueyseta.com,http://www.egueyseta.com/,"Polígono de Pocomaco, Spain",Architizer,Architecture / Design Firm,,True
Mateo Arquitectura,work: +34 932 186 358,info@mateo-arquitectura.com,http://www.mateo-arquitectura.com/,"39, Carrer de Teodor Roviralta, Barcelona, Spain",Architizer,Architecture / Design Firm,,True
Dom Arquitectura,work: +934100814,info@dom-arquitectura.com,http://www.dom-arquitectura.com/,"22, Carrer de Bordeus, Barcelona, Spain",Architizer,Architecture / Design Firm,,True
05 AM Arquitectura,work: +34 972013234,arquitectura@05am.com,http://www.05am.com/‎,"Girona, Spain",Architizer,Architecture / Design Firm,,True
GRAS Reynés Arquitectos,work: +34971280912,press@gras-arquitectos.com,http://www.gras-arquitectos.com/,"24, Carrer de Son Armadans, Palma, Spain",Architizer,Architecture / Design Firm,,True
Otxotorena Arquitectos,work: 0034 948 170345,otx@telefonica.net,http://www.otxotorenaarquitectos.com/,"Pamplona, Spain",Architizer,Architecture / Design Firm,,True
"ca+a architects | Corona, Amaral + Asociados",work: +34 922 59 80 02,estudio@corona-amaral.com,http://www.corona-amaral.com/,"María Jiménez, Spain",Architizer,Architecture / Design Firm,,True
Rob Dubois · arquitecte,work: +34 938 675 801,rob@rob-dubois.com,http://www.rob-dubois.com/,"9, Avinguda Verge del Puig, Sant Celoni, Spain",Architizer,Architecture / Design Firm,,True
Ventura Estudio,work: +34914204219,info@venturaestudio.com,http://venturaestudio.com/,"14, Calle Ventura de la Vega, Madrid, Spain",Architizer,Architecture / Design Firm,,False
Hollegha Arquitectos,x,hollegha@coal.es,http://www.hollegha.com/,"32, Calle Islas Bikini, Madrid, Spain",Architizer,Architecture / Design Firm,,True
PMMT Forward Thinking Healthcare Architecture,work: (+34) 932 055 376,info@pmmtarq.com,https://www.pmmtarquitectura.es/,"Madrid, Spain",Architizer,Architecture / Design Firm,,True
OLAestudio,cell: 654 753 493,hola@olaestudio.com,https://architizer.com/firms/olaestudio/,"A Coruña, Spain",Architizer,Architecture / Design Firm,,True
Estudio Beldarrain,x,estudio@beldarrain.es,http://www.beldarrain.es/,"San Sebastián, Spain",Architizer,Architecture / Design Firm,,False
"Pablo Millán, arquitectos",work: 0034680785662,estudio@pablomillan.es,http://www.pablomillan.es/,"Seville, Spain",Architizer,Architecture / Design Firm,,False
Arquitecturia,work: (+34) 872 081 719 / http://www.arquitecturia.net/,arquitecturia@coac.net,http://www.arquitecturia.net/,"Girona, Spain",Architizer,Architecture / Design Firm,,False
P + A,x,carles@pastor-associates.com,http://www.pastor-associates.com,"Barcelona, CT, Spain",Architizer,Architecture / Design Firm,,True
"Rockwell Group, Madrid",work: +34 91 524 1870,CareersEU@rockwellgroup.com / products@rockwellgroup.com / pr@rockwellgroup.com / dyanks@rockwellgroup.com / library@rockwellgroup.com,http://www.rockwellgroup.com/,"Madrid, Spain",Architizer,Architecture / Design Firm,,False
MDBA,work: +34 936670533,info@mdbarchitects.com,http://mdbarchitects.com/,"Barcelona, Spain",Architizer,Architecture / Design Firm,,True
OAM  Oficina Arquitectura Malaga,cell: 0034 650 289 480 / work: 0034 952 225 878,oficinarquitecturamalaga@gmail.com,http://oficinarquitecturamalaga.es/,"Málaga, Spain",Architizer,Architecture / Design Firm,,False
"Meritxell Inaraja, architect",work: +34 93 889 04 72,meritxellinaraja@coac.net,https://architizer.com/firms/meritxell-inaraja-architect/,"Vic, Spain",Architizer,Architecture / Design Firm,,False
Pau Sarquella Fàbregas,cell: +34 680 115 749,pau.sarquella@gmail.com,http://www.pausf.com/,"Banyoles, Spain",Architizer,Architecture / Design Firm,,False
Barcena & Zufiaur Arquitectos,x,estudio@barcenayzufiaur.com,http://barcenayzufiaur.com/,"Vitoria-Gasteiz, Spain",Architizer,Architecture / Design Firm,,False
DAHL + GHG Architects,work: 917811000,estudio@dahl-ghg.com,http://www.dahl-ghg.com/,"Madrid, Spain",Architizer,Architecture / Design Firm,,True
Joan Poca Arquitecte,x,joanpoca@gmail.com,https://architizer.com/firms/joan-poca-arquitecte/,"Terrassa, Spain",Architizer,Architecture / Design Firm,,True
Studio Wet,work: 0034954374503,wet@studiowet.com,http://www.studiowet.com,"Calle Goles, Sevilla, Spain",Architizer,Architecture / Design Firm,,True
fuertespenedo arquitectos,x,info@fuertespenedo.com,http://fuertespenedo.com/,"Vigo, Spain",Architizer,Architecture / Design Firm,,True
PLAYstudio,work: 0034 965923392,to@playstudio.es,http://www.morethangreen.es/,"3, Plaça de la Porta de Sant Francesc, Alacant, Spain",Architizer,Architecture / Design Firm,,False
YES studio Architecture,work: +34 965213084,mail@y-e-s.es,http://www.y-e-s.es/,"9, Avenida Alfonso X El Sabio, Alacant, Spain",Architizer,Architecture / Design Firm,,False
MOGAS ARQUITECTES SL,work: +34 93 724 3618 / cell: +34 616 19 96 79,info@marq.cat,http://www.marq.cat/,"Sabadell, Spain",Architizer,Architecture / Design Firm,,True
COMETA ARCHITECTS,work: *34 635803044,info@cometaarchitects.com,http://cometaarchitects.com/,"Barcelona, Spain",Architizer,Architecture / Design Firm,,False
Enrique Fernández-Vivancos,work: 963922603,estudio@fernandez-vivancos.com,http://www.fernandez-vivancos.com/,"Valencia, Spain",Architizer,Architecture / Design Firm,,False
longo+roldán arquitectos,work: +34 984197533 / work: 984 197 533,esteroldan@yahoo.es,http://longoroldan.tumblr.com/,"Gijón, Spain",Architizer,Architecture / Design Firm,,False
CODA BarcelonaTech,work: 934017904,contact@coda-office.com,http://coda-office.com/,"Barcelona, Spain",Architizer,Architecture / Design Firm,,False
Dröm Living,cell: 659 87 35 29,hola@dromliving.com,http://www.dromliving.com/,"Barcelona, Spain",Architizer,Architecture / Design Firm,,True
Arturo Blanco Herrero,work: 0034920250669,arturoblancoherrero@gmail.com,http://www.bmasc.es/,"Calle Caballeros, Ávila‎, Spain",Architizer,Architecture / Design Firm,,False
Cayuelas Arquitectos,work: 958 559903,otura@cayuelasarquitectos.es,http://www.cayuelasarquitectos.es/,"Salteras, Spain",Architizer,Architecture / Design Firm,,False
Raúl Sánchez Architects,work: 0034661344542 / work: 0034 931 623 578,rsa@raulsanchezarchitects.com,http://raulsanchezarchitects.com/,"32, Carrer d'Àvila, Barcelona, Spain",Architizer,Architecture / Design Firm,,True
Fragments,work: +34699698620,info@fragments.cat,http://www.fragments.cat/,"Olot, Spain",Architizer,Architecture / Design Firm,,True
Roman Izquierdo Bouldstridge,cell: +34 626468648,info@romanizquierdo.com,http://romanizquierdo.com,"6, Passeig d'Isabel II, Barcelona, Spain",Architizer,Architecture / Design Firm,,False
Zooco Estudio,work: (+34) 917355490,zooco@zooco.es,http://www.zooco.es/,"40, Calle del Sol, Santander, Spain",Architizer,Architecture / Design Firm,,True
Rafael de la Hoz Arquitectos,work: +34 91 745 35 00,estudio@rafaeldelahoz.com,http://www.rafaeldelahoz.com/,"82, Paseo de la Castellana, Madrid, Spain",Architizer,Architecture / Design Firm,,False
La Errería * architecture office,work: +34966935300,info@erreria.com,http://www.erreria.com,"2, Calle María Auxiliadora, Novelda, Spain",Architizer,Architecture / Design Firm,,True
Díaz y Díaz Arquitectos,work: 0034913523109 / work: 0034981206105,estudiomadrid@diazydiazarquitectos.com,http://www.diazydiazarquitectos.com/,"16, Rúa de Tinallas, A Coruña, Spain",Architizer,Architecture / Design Firm,,True
Anna & Eugeni Bach,work: +34932002911,barch@coac.net,http://www.annaeugenibach.com/,"24, Carrer d'Hercegovina, Barcelona, Spain",Architizer,Architecture / Design Firm,,True
NOEM,work: +34 649 867 089,contact@noem.com,http://www.noem.com/,"Barcelona, Spain",Architizer,Architecture / Design Firm,,True
beautell arquitectos,work: +34 922897034,info@beautellarquitectos.com,http://www.beautellarquitectos.com/,"Santa Cruz de Tenerife, Spain",Architizer,Architecture / Design Firm,,True
b720 Fermín Vázquez Arquitectos,work: + 55 11 2495 3863 / work: + 34 91 376 8214  / work: + 34 93 363 7979  / http://b720.com/en,anabassat@b720.com,http://b720.com/en,"2444, Avenida Paulista, Bela Vista, São Paulo, Brazil",Architizer,Architecture / Design Firm,,False
DNA BARCELONA ARCHITECTS,x,marketing@dna-arq.com,http://dna-barcelona.com/,"Barcelona, Spain",Architizer,Architecture / Design Firm,,True
A53 | architecture + interior design,cell: +34 671 436 529,a53contact@gmail.com,http://a-53.com/,"Carrer de Pi i Margall, Barcelona, Spain",Architizer,Architecture / Design Firm,,False
Vilalta Studio,work: +34931702764 / web: www.vilalta.studio,contact@vilalta.studio,http://www.vilalta.studio,"359, Carrer de València, Barcelona, Spain",Architizer,Architecture / Design Firm,,True
Mano de Santo,cell: +34 960 03 70 27,press@manodsanto.com,https://architizer.com/firms/mano-de-santo/,"16, Carrer de Maldonado, València, Spain",Architizer,Architecture / Design Firm,,True
Singular Studio,work: +34 966447029,info@singularstudio.es,http://www.singularstudio.es/,"Xàbia, Spain",Architizer,Architecture / Design Firm,,True
HW Studio,cell: 5586195442,hwarcstudio@gmail.com,http://www.hw-studio.com,"96, Calle Francisco González de León, Tenencia Santa Maria de Guido, Morelia, Mexico",Architizer,Architecture / Design Firm,,False
HozFontán,x,estudio@hozfontanarquitectos.com,http://www.hozfontanarquitectos.com,"San Sebastián, Spain",Architizer,Architecture / Design Firm,,True
gon,cell: +34660083302,info@gon-architects.com,http://www.gon-architects.com/,"Madrid, Spain",Architizer,Architecture / Design Firm,,False
Masquespacio,work: 963.303.156,info@masquespacio.com,http://masquespacio.com/,"Valencia, Spain",Architizer,Architecture / Design Firm,,False
M2Arquitectura: Meritxell Lázaro and Mischa Essletzbichler,x,info@m2arquitectura.es,http://www.m2arquitectura.es/,"Barcelona, Spain",Architizer,Architecture / Design Firm,,True
CAVAA,cell: +34 678658439,cavaa@cavaa.net,https://architizer.com/firms/cavaa/,"Barcelona, Spain",Architizer,Architecture / Design Firm,,True
Raúl García Studio,work: (+34) 616 688 570,info@raulgarcia-studio.com,http://www.raulgarcia-studio.com/,"Valencia, Spain",Architizer,Architecture / Design Firm,,True
FAQ arquitectura,x,estudio@faq-arquitectura.com,http://www.faq-arquitectura.com/,"Seville, Spain",Architizer,Architecture / Design Firm,,True
Zest Architecture,work: +34 932 186 622,info@zestarchitecture.com,http://www.zestarchitecture.com/,"Barcelona, Spain",Architizer,Architecture / Design Firm,,True
elii [architecture office],work: (+34) 915 048 352,info@elii.es,http://www.elii.es/,"3, Calle Maestro Arbós, Madrid, Spain",Architizer,Architecture / Design Firm,,True
Patxi Cortazar Arquitecto,x,pcv@patxicortazar.com,http://www.patxicortazar.com/,"Vitoria-Gasteiz, Spain",Architizer,Architecture / Design Firm,,True
Conjuntos Empaticos,cell: 0034636192021,info@conjuntosempaticos.com,https://www.conjuntosempaticos.com/,"27, Calle de Nicolás Usera, Madrid, Spain",Architizer,Architecture / Design Firm,,False
Adrian Elizalde Architecture,cell: +34 646244018 / cell: +34 628816412,info@adrianelizalde.com,http://www.eoarquitectura.com/,"New York, NY, United States",Architizer,Architecture / Design Firm,,False
RUIZ BARBARIN Architects,work: 00 34 91 650 3241,mapi@arquimania.es,http://www.arquimania.es,"134, Calle Julio Caro Baroja, Madrid, Spain",Architizer,Architecture / Design Firm,,False
OOIIO,work: +34 912826219,press@ooiio.com,http://www.ooiio.com/,"47, Paseo de San Illan, Madrid, Spain",Architizer,Architecture / Design Firm,,True
Sanahuja & Partners,work: 0034 963 943 875,info@sanahujapartners.com,http://www.sanahujapartners.com/,"Ibiza, Spain",Architizer,Architecture / Design Firm,,True
Juana Canet Arquitectos,work: +34 916407925,info@juanacanetarquitectos.com,http://www.juanacanetarquitectos.com/,"Balearic Islands, PM, Spain",Architizer,Architecture / Design Firm,,True
ANTONIO ALTARRIBA ARQUITECTO,work: 963942225,a_altarriba@hotmail.com,http://www.antonioaltarribaarquitecto.com,"18, Carrer Francesc Carbonell, Rocafort, Spain",Architizer,Architecture / Design Firm,,True
TBI Architecture & Engineering,work: +34 933042435,info@tb-i.eu,http://www.tb-i.eu/,"18, Rambla de Catalunya, Barcelona, Spain",Architizer,Architecture / Design Firm,,False
Valentí Albareda,work: 00 34 933 072 398,info@metricintegra.com,http://metricintegra.com,"Barcelona, Spain",Architizer,Architecture / Design Firm,,True
Brut Deluxe,work: (+49) 89 45477152 / work: (+49)89389 993 80 / work: (+34)914427674,info@brutdeluxe.com,http://www.brutdeluxe.com/,"Madrid, Spain",Architizer,Architecture / Design Firm,,False
Ariasrecalde Taller de Arquitectura,work: 00 34 958224546,info@ariasrecalde.com,https://architizer.com/firms/ariasrecalde-taller-de-arquitectura/,"1, Calle Nueva de San Antón, Granada, Spain",Architizer,Architecture / Design Firm,,True
DG Arquitecto Valencia,work: 629196714,dgarquitectovalencia@gmail.com,https://dgarquitecto.blogspot.com,"Valencia, Spain",Architizer,Architecture / Design Firm,,True
Studio Banana,work: +34 91 323 97 42,info@studiobanana.com,http://www.studiobanana.com/,"Basel, Switzerland",Architizer,Architecture / Design Firm,,False
Erbalunga estudio,work: +34 886 311 961,info@erbalunga-estudio.com,http://www.erbalunga-estudio.com/,"Paseo de Calvo Sotelo, Tui, Spain",Architizer,Architecture / Design Firm,,False
RÄS studio,work: +34 933 61 765,hello@rasstudio.cat,http://www.rasstudio.cat/,"Gràcia, Barcelona, Spain",Architizer,Architecture / Design Firm,,False
archi_collective,other: www.archicollective.com,anafernandez@archicollective.com,http://www.estudiokaw.com/en/,"Barcelona, Spain",Architizer,Architecture / Design Firm,,False
Santos y Mera arquitectos,work: +34986842343,info@santos-mera.com,http://www.santos-mera.com/,"Pontevedra, Spain",Architizer,Architecture / Design Firm,,True
Javier de las Heras Solé,x,jdelasheras@coac.net,https://architizer.com/firms/javer-de-las-heras-sole/,"113, Carrer de Girona, Barcelona, Spain",Architizer,Architecture / Design Firm,,False
gpy arquitectos,x,estudio@gpyarquitectos.com,http://www.gpyarquitectos.com/,"Santa Cruz de Tenerife, Spain",Architizer,Architecture / Design Firm,,False
Entropic,work: +34627032207,magdalena@entropic.es,http://www.entropic.es,"65, Carrer de Tapioles, Barcelona, Spain",Architizer,Architecture / Design Firm,,False
AlbertBrito Architecture,x,estudi@albertbrito.com,http://www.albertbrito.com/,"Badalona, Spain",Architizer,Architecture / Design Firm,,True
NUA Arquitectures,work: 0034 977273648,estudi@nuaarquitectures.com,http://www.nuaarquitectures.com/,"Tarragona, Spain",Architizer,Architecture / Design Firm,,False
Foraster Arquitectos,work: +34 944 243 730,estudio@forasterarquitectos.com,http://www.forasterarquitectos.com/,"Bilbao, Spain",Architizer,Architecture / Design Firm,,True
dosarquitectes,work: +34 932 846 887,estudi@dosarquitectes.com,http://www.dosarquitectes.com/prov/index.html,"23, Avinguda de Can Baró, Barcelona, Spain",Architizer,Architecture / Design Firm,,True
Miquel Àngel Lacomba,work: (+34) 971 458 057,arquitectura@mlacomba.com,http://www.mlacomba.com/,"Palma de Mallorca, Spain",Architizer,Architecture / Design Firm,,False
LosdelDesierto,work: 34 950952552,info@elap.com,https://architizer.com/firms/losdeldesierto/,"Almería, Spain",Architizer,Architecture / Design Firm,,False
MRM arquitectos,work: +34948074407,mrm@mrmarquitectos.com,http://www.mrmarquitectos.com/,"12, Calle Miluze, Pamplona, Spain",Architizer,Architecture / Design Firm,,False
Manuel Ruisánchez Arquitecto,work: 34 .934 .14 .16 .14,arq@ruisanchez.net,http://www.ruisanchez.net/,"86, Carrer de Balmes, Barcelona, Barcelona, Spain",Architizer,Architecture / Design Firm,,False
osb,cell: +34654104824,info@osbreformas.com,http://www.presupuestoonlinereformasvalencia.com/,"160, Carrer d'Escalante, València, Spain",Architizer,Architecture / Design Firm,,True
Virseda & Vila Architects,fax: 0034 91 5339240 / work: 0034 91 5339240,alexvirseda@gmail.com,http://www.virseda-vila.com/,"14, Calle Cea Bermúdez, Madrid, Spain",Architizer,Architecture / Design Firm,,True
NABITO ARCHITECTS & PARTNERS,fax: 0034 932257674 / work: 0034 932257674,info@nabitoarchitects.com,http://www.nabitoarchitects.com/,"453, Carrer del Consell de Cent, Barcelona, Spain",Architizer,Architecture / Design Firm,,True
ROS + FALGUERA ARQUITECTURA,work: +34 937 688 994,press@rosfalguera.com,http://rosfalguera.com,"Barcelona, Spain",Architizer,Architecture / Design Firm,,True
ISABELLOPEZVILALTA+ASSOCIATES,work: 34932531169,press@isabellopezvilalta.com,https://architizer.com/firms/isabellopezvilaltaassociates/,"Carrer del Putget, Barcelona, Spain",Architizer,Architecture / Design Firm,,True
Carles Faus Arquitectura,work: +34 665882563,info@carlesfaus.com,https://www.carlesfaus.com/,"119, Carrer d'Albalat, Algemesí, Spain",Architizer,Architecture / Design Firm,,True
Laura Ortín Architecture,x,hola@lauraortin.com,https://lauraortin.com,"Murcia, Spain",Architizer,Architecture / Design Firm,,True
Henka Arquitectos,work: 687652103,arquitectos@henka.es,https://www.henka.es/,Spain,Architizer,Architecture / Design Firm,,True
